25	0,-12	1,-11	2,-10	3,32038	4,32048	5,32062	6,32035	7,32060	8,32004	9,32049	10,32037	11,34141	12,32005	13,32003	14,32042	15,32052	16,32007	17,32055	18,32281	19,32044	20,32047	21,32053	22,32032	23,32033	24,32034	
14	6º Reforço	7º Reforço	8º Reforço	9º ANO A 	9º ANO B	1ª SÉRIE A	1ª SÉRIE B	2ª SÉRIE A	2ª SÉRIE B	2ª SÉRIE C	2ª SÉRIE D	3ª SÉRIE A	3ª SÉRIE B	3ª SÉRIE C	
5	6
i	0	0	3
i	0	0	4
i	0	0	9
i	0	0	10
i	0	0	13
i	0	0	17
i	0	0	18
i	0	0	19
i	0	0	21
i	0	0	23
i	0	1	3
i	0	1	4
i	0	1	9
i	0	1	10
i	0	1	13
i	0	1	17
i	0	1	18
i	0	1	19
i	0	1	21
i	0	1	23
i	0	2	3
i	0	2	4
i	0	2	9
i	0	2	10
i	0	2	13
i	0	2	17
i	0	2	18
i	0	2	19
i	0	2	21
i	0	2	23
i	0	3	3
i	0	3	4
i	0	3	9
i	0	3	13
i	0	3	17
i	0	3	18
i	0	3	19
i	0	3	21
i	0	3	23
i	0	4	2
i	0	4	3
i	0	4	9
i	0	4	13
i	0	4	17
i	0	4	18
i	0	4	19
i	0	4	21
i	0	4	23
i	0	5	2
i	0	5	3
i	0	5	9
i	0	5	13
i	0	5	17
i	0	5	18
i	0	5	19
i	0	5	21
i	0	5	23
i	1	0	4
i	1	0	11
i	1	0	12
i	1	0	17
i	1	0	18
i	1	0	19
i	1	0	20
i	1	0	21
i	1	0	23
i	1	1	4
i	1	1	11
i	1	1	12
i	1	1	17
i	1	1	18
i	1	1	19
i	1	1	20
i	1	1	21
i	1	1	23
i	1	2	4
i	1	2	11
i	1	2	12
i	1	2	17
i	1	2	18
i	1	2	19
i	1	2	20
i	1	2	21
i	1	2	23
i	1	3	4
i	1	3	11
i	1	3	12
i	1	3	17
i	1	3	18
i	1	3	19
i	1	3	20
i	1	3	21
i	1	3	23
i	1	4	4
i	1	4	11
i	1	4	12
i	1	4	17
i	1	4	18
i	1	4	19
i	1	4	20
i	1	4	21
i	1	4	23
i	1	5	4
i	1	5	11
i	1	5	12
i	1	5	16
i	1	5	17
i	1	5	18
i	1	5	19
i	1	5	20
i	1	5	21
i	1	5	23
i	2	0	5
i	2	0	8
i	2	0	10
i	2	0	11
i	2	0	12
i	2	0	14
i	2	0	15
i	2	0	19
i	2	0	21
i	2	1	5
i	2	1	8
i	2	1	10
i	2	1	11
i	2	1	12
i	2	1	14
i	2	1	15
i	2	1	19
i	2	1	21
i	2	2	5
i	2	2	8
i	2	2	10
i	2	2	11
i	2	2	12
i	2	2	14
i	2	2	15
i	2	2	19
i	2	2	21
i	2	3	1
i	2	3	5
i	2	3	9
i	2	3	10
i	2	3	11
i	2	3	12
i	2	3	14
i	2	3	15
i	2	3	19
i	2	3	21
i	2	4	1
i	2	4	5
i	2	4	9
i	2	4	10
i	2	4	11
i	2	4	12
i	2	4	14
i	2	4	15
i	2	4	19
i	2	4	21
i	2	5	1
i	2	5	5
i	2	5	9
i	2	5	10
i	2	5	11
i	2	5	12
i	2	5	14
i	2	5	15
i	2	5	19
i	2	5	21
i	3	0	3
i	3	0	5
i	3	0	8
i	3	0	10
i	3	0	14
i	3	0	19
i	3	0	20
i	3	0	24
i	3	1	3
i	3	1	5
i	3	1	8
i	3	1	10
i	3	1	14
i	3	1	19
i	3	1	20
i	3	1	24
i	3	2	3
i	3	2	5
i	3	2	8
i	3	2	10
i	3	2	14
i	3	2	19
i	3	2	20
i	3	2	24
i	3	3	0
