26	0,42789	1,42776	2,42780	3,42738	4,42739	5,42594	6,42744	7,42745	8,42746	9,42752	10,42753	11,42755	12,42750	13,42757	14,42758	15,42761	16,42762	17,42765	18,42766	19,42767	20,42768	21,42770	22,42591	23,42807	24,42773	25,42774	
15	8ª SÉRIE A	8ª SÉRIE B	8ª SÉRIE C	8ª SÉRIE D	8ª SÉRIE E	1ª SÉRIE A	1ª SÉRIE B	1ª SÉRIE C	1ª SÉRIE D	1ª SÉRIE E	2ª SÉRIE A	2ª SÉRIE B	2ª SÉRIE C	3ª SÉRIE A	3ª SÉRIE B	
5	6
i	0	0	1
i	0	0	3
i	0	0	4
i	0	0	5
i	0	0	13
i	0	0	15
i	0	0	20
i	0	0	21
i	0	0	23
i	0	0	25
i	0	1	1
i	0	1	3
i	0	1	4
i	0	1	5
i	0	1	13
i	0	1	15
i	0	1	20
i	0	1	21
i	0	1	23
i	0	1	25
i	0	2	1
i	0	2	3
i	0	2	4
i	0	2	5
i	0	2	13
i	0	2	15
i	0	2	21
i	0	2	23
i	0	2	25
i	0	3	1
i	0	3	3
i	0	3	4
i	0	3	5
i	0	3	13
i	0	3	15
i	0	3	21
i	0	3	23
i	0	3	25
i	0	4	1
i	0	4	3
i	0	4	4
i	0	4	5
i	0	4	13
i	0	4	15
i	0	4	21
i	0	4	23
i	0	4	25
i	0	5	1
i	0	5	3
i	0	5	4
i	0	5	5
i	0	5	6
i	0	5	13
i	0	5	15
i	0	5	21
i	0	5	23
i	0	5	25
i	1	0	4
i	1	0	10
i	1	0	13
i	1	0	14
i	1	0	19
i	1	0	20
i	1	0	23
i	1	0	25
i	1	1	4
i	1	1	10
i	1	1	13
i	1	1	14
i	1	1	19
i	1	1	20
i	1	1	23
i	1	1	25
i	1	2	1
i	1	2	4
i	1	2	10
i	1	2	11
i	1	2	13
i	1	2	14
i	1	2	19
i	1	2	23
i	1	2	25
i	1	3	1
i	1	3	4
i	1	3	10
i	1	3	11
i	1	3	13
i	1	3	14
i	1	3	19
i	1	3	23
i	1	4	1
i	1	4	4
i	1	4	6
i	1	4	10
i	1	4	11
i	1	4	13
i	1	4	14
i	1	4	16
i	1	4	19
i	1	4	23
i	1	5	1
i	1	5	4
i	1	5	6
i	1	5	10
i	1	5	11
i	1	5	13
i	1	5	14
i	1	5	16
i	1	5	19
i	1	5	23
i	2	0	4
i	2	0	5
i	2	0	9
i	2	0	11
i	2	0	16
i	2	0	19
i	2	0	20
i	2	0	21
i	2	0	24
i	2	0	25
i	2	1	4
i	2	1	5
i	2	1	9
i	2	1	11
i	2	1	16
i	2	1	19
i	2	1	20
i	2	1	21
i	2	1	24
i	2	1	25
i	2	2	1
i	2	2	4
i	2	2	5
i	2	2	9
i	2	2	11
i	2	2	16
i	2	2	21
